============Overall============
149 templates in total. 480 attributes in total. 697 values in total. 2104 extractions in total. ============Template============
\Qthe \E#ATTRIBUTE#\Q was \E#VALUE#\Q!\E	239
\Qthe \E#ATTRIBUTE#\Q is \E#VALUE#\Q!\E	141
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is also\E	105
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q too.\E	23
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was pretty\E	241
\Qvery \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	238
\Q and the \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	62
#ATTRIBUTE#\Q was also very \E#VALUE#	152
\Qi'm not a \E#VALUE#\Q \E#ATTRIBUTE#\Q of the\E	11
#VALUE#\Q reviews about this \E#ATTRIBUTE#	13
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was very\E	142
#ATTRIBUTE#\Q is just as \E#VALUE#	104
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is really\E	36
#ATTRIBUTE#\Q was nice and \E#VALUE#	117
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q i have\E	37
\Qthis \E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	27
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q for the\E	100
\Qthe \E#ATTRIBUTE#\Q are \E#VALUE#\Q and the\E	58
\Q\E#VALUE#\Q the \E#ATTRIBUTE#\Q.\E	415
\QÊThe \E#ATTRIBUTE#\Q is \E#VALUE#\Q.\E	133
\Qthe \E#ATTRIBUTE#\Q was \E#VALUE#\Q.\E	1485
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q here is\E	215
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q was also\E	141
#ATTRIBUTE#\Q was fast and \E#VALUE#	92
#VALUE#\Q and a half \E#ATTRIBUTE#	397
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q - i\E	22
#ATTRIBUTE#\Q was a little \E#VALUE#	164
\Qi love \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	27
\Qthis is the \E#VALUE#\Q \E#ATTRIBUTE#\Q i have\E	12
\Qi had the \E#VALUE#\Q \E#ATTRIBUTE#\Q and the\E	69
#ATTRIBUTE#\Q has always been \E#VALUE#	42
#ATTRIBUTE#\Q was not as \E#VALUE#	22
\Qthis \E#ATTRIBUTE#\Q is \E#VALUE#\Q!\E	675
#VALUE#\Q way to end the \E#ATTRIBUTE#	37
#ATTRIBUTE#\Q was friendly and \E#VALUE#	74
#ATTRIBUTE#\Q is pretty damn \E#VALUE#	34
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q is very\E	33
#ATTRIBUTE#\Q has some of the \E#VALUE#	11
\Qthe \E#VALUE#\Q \E#ATTRIBUTE#\Q on the\E	22
\Q, \E#VALUE#\Q \E#ATTRIBUTE#\Q.\E	62
\Q\E#VALUE#\Q \E#ATTRIBUTE#\Q ever.\E	39
